text,label
India wins cricket world cup,REAL
Aliens landed secretly on earth,FAKE
Local government announces new education policy,REAL
Secret cure for cancer discovered (fake news),FAKE
NASA announces successful Artemis I mission,REAL
Scientists confirm moon is made of cheese,FAKE
Shubman Gill named ODI captain for Australia tour,REAL
Government to replace all teachers with AI robots by 2026,FAKE
Indian government unveils new renewable energy budget,REAL
"Aliens secretly built the pyramids, scientists confirm",FAKE
